Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Horticultural consultant,Transportation,Decreasing,High,58098.87,High School,17,226,6573,79.47,43.91,Canada,51.31,40.39,42.87,40.79,40.06,45.54
"Biochemist, clinical",Finance,Increasing,Moderate,125412.26,PhD,15,3942,2127,80.01,91.38,Australia,21.96,82.77,79.81,91.76,94.6,86.69
Government social research officer,Manufacturing,Increasing,High,44854.8,High School,16,7806,7412,41.99,19.61,Brazil,36.84,18.5,16.67,17.4,16.45,20.69
"Lecturer, higher education",Retail,Decreasing,High,56326.64,Master’s Degree,15,6603,8533,49.64,44.9,Australia,41.42,34.71,39.25,39.3,38.83,46.19
Geoscientist,Entertainment,Increasing,High,57395.25,Bachelor’s Degree,19,4777,8678,68.65,55.65,UK,24.86,50.23,53,50.87,56.17,54.59
Osteopath,Transportation,Decreasing,High,133607.25,Associate Degree,15,7039,2513,66.05,74.58,India,32.09,66.32,66.99,63.27,76.33,77.21
Clinical psychologist,Manufacturing,Increasing,High,87397.63,PhD,17,3969,1072,4.32,35.78,Australia,44.8,38.11,30.76,30.94,29.32,37.21
Paediatric nurse,Transportation,Decreasing,Moderate,30627.49,Associate Degree,2,2739,9352,13.45,90.94,Brazil,27.86,89.03,93.5,84.06,91.97,87.73
Industrial buyer,IT,Decreasing,High,78773.31,Master’s Degree,13,1571,3042,52.18,67.05,Canada,51.28,62.02,61.13,55.74,62.69,58.26
Garment/textile technologist,IT,Increasing,High,92183.78,High School,8,6407,7212,50.76,89.56,Brazil,35.3,74.94,77.14,81.03,84.56,88.3
Financial risk analyst,Retail,Increasing,Low,115536.18,Bachelor’s Degree,1,3356,7093,79.42,29.06,Australia,37.31,26.18,26.48,27.96,24.84,28.6
"Lecturer, higher education",Entertainment,Increasing,High,80594.6,Associate Degree,15,5237,9252,15.07,43.87,Canada,69.36,41.41,38.2,41.36,42.4,45
Health and safety adviser,Education,Increasing,High,47389.31,High School,19,2696,9449,30.82,92.73,Germany,41,90.71,93.75,92.95,94.24,93.97
"Accountant, chartered public finance",Education,Increasing,Low,93916.21,Associate Degree,1,9708,4087,24.03,20.89,Canada,62.8,17,17,19.09,23.49,20.17
"Geologist, wellsite",Retail,Increasing,Moderate,55152.4,Bachelor’s Degree,11,5055,8704,0.23,86.7,UK,75.07,83.47,75.03,84.79,85.25,74.84
Oceanographer,Finance,Increasing,High,103308.46,Associate Degree,16,410,1992,49.15,20.22,China,76.21,13.03,10.5,14.01,19.19,18.99
Youth worker,Retail,Decreasing,High,36692.97,High School,1,2871,1563,7.14,76.33,Australia,33.53,68.78,69.63,71.24,74.6,70.61
Chief Strategy Officer,Finance,Decreasing,High,133020.15,Associate Degree,20,1968,7172,80.67,37.66,Canada,47.38,32.82,28.4,28.44,37.15,34.95
"Surveyor, rural practice",Finance,Increasing,Low,94472.98,Bachelor’s Degree,13,898,6088,63.26,2.96,UK,43.14,0,0.64,0,1.5,3.15
"Engineer, maintenance (IT)",Finance,Increasing,High,119099.64,Bachelor’s Degree,15,2915,4118,47.26,63.49,India,44.63,61.28,55.51,57.23,62.29,62.64
Marketing executive,Education,Decreasing,Low,102965.75,High School,4,6536,617,86.15,11.79,UK,50.09,9.79,13.34,7.62,8.45,8.34
Travel agency manager,Manufacturing,Decreasing,Low,60424.92,PhD,19,4333,7991,37.65,15.52,Australia,79.78,15.08,14.29,11.15,14.16,14.91
Product designer,Entertainment,Increasing,Moderate,100080.16,Bachelor’s Degree,9,9476,2692,20.42,1.82,UK,29.44,0,0,0,0.92,0
Orthoptist,Retail,Decreasing,Low,38333.21,Master’s Degree,15,7367,3406,1.36,81.29,China,64.82,79,83.87,83.24,82.03,80.34
"Engineer, maintenance (IT)",Transportation,Decreasing,Moderate,47346.41,Master’s Degree,9,4740,391,1.4,63.22,Germany,50.13,53.12,57.73,59.45,60.21,57.01
"Journalist, broadcasting",Entertainment,Increasing,High,130884.69,Associate Degree,2,4016,5733,28.89,90.13,USA,73.84,85.46,79.97,92.73,88.15,92.95
Computer games developer,IT,Increasing,Low,104878.63,PhD,12,6126,8497,7.11,17.75,China,46.9,14.45,17.77,14.97,14.86,15.95
Land,IT,Decreasing,Moderate,126690.42,High School,2,6699,9555,87.84,73.51,Germany,23.43,71.55,62.62,65.76,71.39,71.44
Mental health nurse,Manufacturing,Decreasing,Moderate,142357.27,PhD,15,1980,8533,74.53,78.62,USA,44.81,78.35,70.25,75.96,76.3,73.68
Advertising account planner,Finance,Decreasing,High,147835.21,Master’s Degree,12,1931,1041,59.51,23.03,Canada,53.61,17.16,16.59,18.06,18.1,20.66
"Psychologist, educational",Education,Decreasing,Low,39059.48,Master’s Degree,9,6858,2249,13.88,96.66,Australia,62.22,90.42,99.06,100,100,98.22
Contractor,Transportation,Increasing,Low,90076.42,High School,1,9634,9724,80.99,60.77,USA,37.23,56.14,56.41,60.3,60.04,59.49
Conference centre manager,Entertainment,Decreasing,High,119138.64,Associate Degree,18,6335,4718,81.16,79.41,Brazil,22.04,71.89,78.76,73.83,82.04,78.82
Chief of Staff,Retail,Decreasing,Moderate,39104.5,Associate Degree,13,2708,6617,92.91,16.14,Germany,51.92,10.91,10.98,13.13,15.34,14.49
"Social research officer, government",Finance,Decreasing,Moderate,105456.62,High School,15,2693,8952,71.39,77.97,India,45.15,75.23,71.53,73.89,70.63,78.92
"Doctor, hospital",Manufacturing,Decreasing,High,89997.91,Bachelor’s Degree,11,3179,7221,59.74,23.32,Canada,69.31,17.53,22.63,21.75,21.43,24.97
Pathologist,Transportation,Increasing,High,79402.18,High School,16,2245,6036,59.66,88.01,Germany,67.85,83.19,86.98,80.54,87.32,88.79
Armed forces technical officer,Transportation,Decreasing,Low,63335.09,Bachelor’s Degree,20,2339,9229,45.41,53.39,UK,66.66,45.1,55.26,47.69,47.96,43.85
Ophthalmologist,IT,Increasing,Low,104889.44,PhD,4,8101,8150,18.18,7.72,Brazil,36.51,3.29,0.67,3.67,7.07,7
"Producer, television/film/video",Finance,Decreasing,Low,130167.99,Master’s Degree,15,6479,3409,88.48,41.59,Canada,27.65,35.68,33.86,38.77,42.26,42.68
Museum/gallery conservator,Entertainment,Increasing,High,64025.52,High School,15,923,1527,18.37,55.08,China,33.24,54.21,47.82,47.03,53.46,54.45
Senior tax professional/tax inspector,Entertainment,Increasing,Low,79879.35,PhD,17,1286,9369,3.25,61.08,Germany,26.91,57.56,55.79,50.14,56.33,62.24
Travel agency manager,Healthcare,Decreasing,Low,147143.21,Bachelor’s Degree,3,2471,2436,10.04,55.92,India,23,54.72,57.31,55.76,57.42,57.93
"Nurse, adult",Entertainment,Increasing,Moderate,95984.64,Bachelor’s Degree,14,3015,6956,58.24,25.15,Germany,22.58,20.2,21.21,15.59,21.67,22.77
"Engineer, mining",Manufacturing,Decreasing,Low,132008.61,High School,20,7218,4511,57.35,87.38,Australia,72.42,84.13,81.31,89.56,82.63,91.36
Prison officer,IT,Decreasing,Moderate,148581.49,Associate Degree,5,9089,7881,48.93,76.06,Canada,64.53,64.93,67.78,68.99,71.18,79.02
"Engineer, technical sales",Finance,Increasing,High,133795.59,Bachelor’s Degree,14,7694,6027,25.04,37.78,UK,36.78,29.12,30.75,31.15,33.98,36.79
Patent examiner,Finance,Decreasing,Moderate,116884.36,Bachelor’s Degree,19,2135,5741,44.44,82.77,China,52.46,75.91,77.37,83.22,81.46,76.99
Network engineer,Healthcare,Increasing,High,51843.46,High School,18,8295,376,31.52,91.93,India,24.72,87.67,86.52,91.81,90.81,95.96
Professor Emeritus,Entertainment,Decreasing,High,36678.96,Associate Degree,0,1156,270,12.55,13.57,Germany,36.52,5.66,8,7.64,10.89,9.34
"Therapist, occupational",Retail,Increasing,High,44778.06,Associate Degree,19,914,340,98.57,86.57,Australia,30.85,82.04,81.66,83.7,87.46,86.32
Chief Operating Officer,Transportation,Increasing,Low,138440.46,Master’s Degree,3,8332,8156,20.87,36.72,India,50.97,29.9,32.47,34.41,34.47,35.48
"Embryologist, clinical",Transportation,Decreasing,Low,39312.78,Bachelor’s Degree,15,1959,7394,98.79,27.05,China,51.55,27.3,24.48,25.83,21.01,28.07
Glass blower/designer,Education,Decreasing,Moderate,59281.02,PhD,17,1481,9021,40.61,21.49,Germany,62.77,25.11,22.38,19.05,25.38,21.05
Chartered legal executive (England and Wales),Retail,Decreasing,Low,56556.96,Associate Degree,9,1242,4180,83.91,28.28,India,60.53,25.85,25.13,25.7,21.74,29.5
Probation officer,Finance,Decreasing,Low,42167.99,Associate Degree,17,9351,6008,62.48,16.15,Brazil,66.03,11.36,12.42,14.17,13.65,15.83
"Presenter, broadcasting",Manufacturing,Decreasing,Moderate,116393.58,Bachelor’s Degree,0,551,8404,92.35,85.43,Australia,68.53,86.32,83.87,82.41,83.33,85.44
Multimedia specialist,Healthcare,Decreasing,High,94934.33,PhD,15,7010,1502,62.01,78.37,China,65.39,71.27,76.05,78.67,77.15,75.96
Quarry manager,Finance,Increasing,High,60229.33,Master’s Degree,19,6127,1084,15.3,83.32,China,43.46,74.37,79.69,74.24,76.93,75.33
Recycling officer,Finance,Decreasing,Low,145030.53,Master’s Degree,1,9108,4196,66.89,34.85,Canada,46.76,30.74,33.68,35.72,37.11,32.25
Financial manager,Transportation,Decreasing,High,123539.69,High School,16,4239,6675,43.39,94.29,UK,45.04,88.87,87.35,97.52,97.33,93.72
"Restaurant manager, fast food",Retail,Decreasing,High,78877.08,Master’s Degree,14,3812,783,77.63,27.56,UK,72.87,20.27,14.86,20.71,20.91,23.02
Dance movement psychotherapist,Transportation,Increasing,High,68232.28,Associate Degree,5,4898,5918,53.17,68.21,Germany,76.37,68.37,58.42,60.55,62.35,76.13
Photographer,Manufacturing,Decreasing,Low,48418.2,PhD,6,6658,1527,60.23,80.65,Australia,41.23,77.61,82.31,79.66,71.75,86.1
Brewing technologist,IT,Increasing,Low,69126.77,Associate Degree,1,7866,7048,78.25,64.09,India,22.4,60.21,59.47,66.96,60.8,62.55
Food technologist,Education,Increasing,Moderate,148472.99,High School,5,7502,3607,89.5,86.69,UK,20.48,82.77,89.1,88.53,86.83,81.88
Waste management officer,Education,Decreasing,High,114785.35,High School,9,275,9000,38.99,18.27,Germany,21.28,14.26,13.52,18.7,13.74,20.89
Herpetologist,Education,Increasing,Moderate,89333.69,Master’s Degree,4,9001,6409,89.62,36.35,Germany,65.23,37.19,31.97,33.77,33.5,36.96
"Sales professional, IT",Retail,Decreasing,High,75452,High School,7,103,8203,87.18,41.45,China,26.17,39.48,40.02,36.75,42.55,43.49
Agricultural consultant,Education,Increasing,Moderate,145151.2,Bachelor’s Degree,1,2556,2257,32.07,87.65,UK,22.72,84.37,85.61,92.52,91.02,92.21
Food technologist,Retail,Decreasing,Low,50741.16,Master’s Degree,17,2269,3134,63.1,67.66,UK,64.59,73.64,67.07,66.92,71.19,74.05
Chiropractor,Manufacturing,Decreasing,Low,62795.09,Master’s Degree,0,9776,8850,35.65,74.62,Brazil,64.84,69.53,71.63,69.13,74.78,77.38
Statistician,Healthcare,Decreasing,Moderate,103583.77,Associate Degree,12,8332,3735,97.79,29.71,USA,66.14,24.44,30.02,26.83,27.23,31.81
"Designer, industrial/product",IT,Decreasing,Low,128828.73,Bachelor’s Degree,13,8929,7207,98.61,42.74,Australia,44.62,35.75,34.64,41.66,40.27,45.02
Music therapist,Manufacturing,Decreasing,Moderate,34751.43,Bachelor’s Degree,0,3564,9446,90.67,51.62,Germany,37.56,50.16,43.09,53.23,55.81,53.97
"Engineer, energy",Finance,Increasing,High,145665.72,PhD,4,6124,6302,76.41,99.14,UK,48.6,96.14,91.79,92.33,96.97,100
"Engineer, chemical",Transportation,Increasing,Low,46796.68,PhD,6,1950,9702,13.49,25.95,USA,39.16,24.49,22.15,22.62,21.15,26.72
Pensions consultant,Education,Decreasing,High,113414.17,Bachelor’s Degree,7,8662,4299,41.66,75.66,China,41.98,70.94,71.93,80.22,76.62,76.23
Multimedia specialist,Healthcare,Increasing,Low,91741.55,High School,14,8002,471,4.32,4.42,India,23.44,3.68,5.06,0.52,2.66,3.62
Advertising account executive,Healthcare,Increasing,High,34301.31,Master’s Degree,1,836,5204,75.2,31.12,India,62.61,24.84,27.35,25.01,31.8,29.08
Advice worker,Healthcare,Decreasing,Low,106710.86,Associate Degree,7,796,550,59.87,66.9,Canada,32.61,65.5,65.4,67.59,57.43,68.06
Market researcher,Entertainment,Decreasing,Moderate,39397.86,High School,16,7300,7050,85.62,20.36,USA,51.75,14.78,17.22,14.87,19.23,22.1
"Buyer, industrial",Education,Decreasing,Low,133351.41,High School,4,3805,5095,61.72,31.38,UK,78.38,30.09,28.23,28.69,32.09,32.42
"Therapist, horticultural",IT,Increasing,Low,149111.8,High School,0,3137,1898,35.07,87.4,China,23.13,83.62,83.05,85.09,85.03,84.78
Emergency planning/management officer,IT,Increasing,Moderate,30727.46,Associate Degree,19,6472,9915,83.78,89.14,Germany,42.28,84.8,84.43,90.03,90.8,88.8
Theatre manager,Healthcare,Increasing,Moderate,51508.79,Master’s Degree,17,1956,5575,98.63,59.9,India,65.94,58.86,54.34,57.84,59.83,54.08
Chief of Staff,Entertainment,Decreasing,Low,111831.99,High School,3,679,5288,70.4,63.06,UK,30.48,61.02,57.01,58.08,59.86,62.26
Art gallery manager,Retail,Decreasing,Low,98586.64,Master’s Degree,0,3923,1167,61.8,30.36,Brazil,58.43,24.01,29.91,28.9,33.74,30.45
"Surveyor, quantity",Retail,Decreasing,Low,65200.66,Master’s Degree,8,8756,6328,2.08,82.11,Australia,68.35,81.22,76.21,75.54,83.3,77.15
Social worker,Finance,Increasing,Moderate,133642.85,Associate Degree,17,3587,5363,30.36,83.7,USA,78.5,80.27,85.74,83.89,83.59,83.58
Risk analyst,Transportation,Decreasing,Low,45473.12,PhD,9,1919,8263,19.39,19.89,Australia,60.94,15.58,16.85,16.6,15.73,19.26
Petroleum engineer,Manufacturing,Increasing,Low,53800.21,High School,11,940,3957,2.78,5.31,USA,52.72,4.35,0.93,5.95,6.21,5.41
Magazine journalist,Entertainment,Decreasing,High,31547.72,Bachelor’s Degree,6,9774,2455,37.72,18.52,Brazil,52.27,12.85,12.94,14.71,14.97,17.29
Armed forces operational officer,Healthcare,Increasing,Moderate,44140.98,PhD,3,1525,801,77.99,24.9,Canada,33.08,22.21,26.73,24.37,23.23,24.08
Tourism officer,Manufacturing,Increasing,High,116034.27,High School,9,6681,3584,36.59,96.16,USA,79.52,87.83,89.6,97.03,91.91,92.41
Podiatrist,IT,Increasing,Low,42159.73,High School,15,9996,5322,33.33,1.17,UK,62.4,0,0,0,0,0
Diplomatic Services operational officer,IT,Increasing,High,106477.11,Associate Degree,9,8938,5230,5.89,4.73,India,27.89,0,0,0,0,4.98
Software engineer,IT,Decreasing,Moderate,107637.16,Associate Degree,1,4858,1243,9.85,29.38,Brazil,66.87,24.23,24.28,27.07,30.94,26.6
Ship broker,Transportation,Increasing,High,100858.39,Bachelor’s Degree,0,8175,9560,73.71,83.51,India,46.46,72.52,80.96,73.73,81.06,81.01
Hospital pharmacist,Entertainment,Decreasing,High,122688.72,Master’s Degree,20,5998,8031,92.96,81.36,India,56.51,77.52,74.26,82.19,75.82,82.84
Printmaker,Manufacturing,Increasing,High,106633.49,High School,16,5682,7972,61,47.94,Germany,69.12,40.78,45.39,41.84,45.79,50.78
"Scientist, physiological",Retail,Decreasing,Low,86474.27,High School,16,6387,1287,30.86,31.51,Australia,77.26,28.64,31.88,29.56,29.02,31.3
Textile designer,Finance,Decreasing,High,36372.75,Bachelor’s Degree,13,8831,3062,9.41,49.42,India,62.57,43.46,37.5,46.3,43.5,44.32
Manufacturing engineer,Finance,Decreasing,Moderate,39565.39,High School,0,8666,207,29.78,29.33,USA,51.93,24.61,27.72,26.25,23.7,26.53
Animator,Retail,Decreasing,High,70952.45,Bachelor’s Degree,6,9750,8030,11.57,69.34,India,37.61,61.99,65.36,65.57,68.77,71.75
Amenity horticulturist,Finance,Increasing,High,92296.94,Bachelor’s Degree,4,4629,4667,0.46,95.7,Canada,37.51,89.41,93.39,89.84,100,96.56
Insurance underwriter,IT,Increasing,High,101896.01,High School,1,7308,3353,75.21,55.12,Germany,77.49,47.53,52.86,49.55,49.18,57.29
"Psychologist, occupational",Manufacturing,Decreasing,High,61735.26,Master’s Degree,20,5973,4559,98.68,76.69,China,67.9,76.68,73.11,80.26,74.29,79.19
"Physicist, medical",Finance,Decreasing,High,69119.6,Associate Degree,9,2713,1039,63.89,23.5,UK,44.82,19.04,17.48,19.83,22.64,21.13
Social worker,Transportation,Increasing,Low,48507.52,Master’s Degree,4,1283,3130,98.88,25.33,India,59.43,19.99,25.54,23.92,22.79,24.84
Armed forces logistics/support/administrative officer,Finance,Increasing,Moderate,85149.09,Bachelor’s Degree,17,7762,6028,3.86,66.16,India,54.07,61.93,55.89,65.06,65.18,70.73
IT technical support officer,Retail,Decreasing,High,113258.15,High School,12,1194,5246,85.89,16.15,Canada,70.83,9.87,14.2,12.55,14.09,15.54
Rural practice surveyor,Healthcare,Increasing,High,97669.11,Bachelor’s Degree,5,2234,5803,54.7,44.05,UK,38.19,46.06,37.43,43.11,42.61,43.19
Manufacturing engineer,Finance,Increasing,High,145593.12,Master’s Degree,8,1725,6711,9.22,67.67,Germany,65.62,61.93,65.33,64.87,68.91,65.22
"Horticulturist, commercial",IT,Increasing,High,52639.83,Master’s Degree,16,3396,4617,36.12,5.46,USA,32.72,0,0,2.91,1.25,3.02
Corporate treasurer,Entertainment,Increasing,Moderate,73762.08,Bachelor’s Degree,4,3751,7032,83.46,93.81,USA,35.27,91.43,94.59,87.82,96.93,91.5
Energy manager,Transportation,Decreasing,Low,131158.65,Bachelor’s Degree,19,9318,233,17.6,41.73,Australia,28.27,42.17,37.44,41.65,40.45,37.93
Cabin crew,Healthcare,Decreasing,Low,63695.58,High School,20,1791,1245,26.13,6.69,India,67.37,2.18,3.75,7.12,2.55,6.84
Midwife,Retail,Increasing,Low,85358.26,Master’s Degree,19,5007,9754,37.47,36.88,UK,35.43,34.37,29.98,32.91,33.54,36.39
"Accountant, chartered management",Education,Increasing,Low,87874.87,PhD,3,2724,3323,27.11,31.77,USA,73.93,33.62,33.01,29.84,29.04,27.6
Clinical research associate,Retail,Decreasing,High,97301.85,High School,1,9249,4929,17.42,98.45,UK,30.17,90.91,89.77,94.78,96.12,95.16
Human resources officer,Finance,Decreasing,High,121015.81,Master’s Degree,10,5802,8478,10.35,45.72,China,65.06,36.61,37.49,39.57,46.72,45.65
"Education officer, community",Retail,Increasing,High,83238.74,Bachelor’s Degree,18,7541,6971,21.11,40.53,UK,70.4,36.12,38.6,39.53,42.06,40.96
Engineering geologist,Manufacturing,Decreasing,High,75939.32,Master’s Degree,19,9111,1062,94.78,15.91,USA,20,11.12,10.58,11.16,15.57,14.65
Minerals surveyor,Healthcare,Increasing,High,33542.38,Associate Degree,16,2602,7507,61.4,32.62,Germany,42.68,25.35,24.31,35.6,28.62,30.14
Midwife,IT,Increasing,High,81236.04,Master’s Degree,18,8753,9301,71.49,96.1,USA,72.07,91.73,83,92.58,100,100
"Accountant, chartered certified",Entertainment,Decreasing,Low,135310,PhD,20,4970,7681,25.33,72.41,Brazil,67.8,67.27,69.57,68.85,70.94,76.48
Arboriculturist,Finance,Decreasing,High,79761.96,PhD,5,3572,2903,98.19,23.22,UK,45.67,12.35,18.4,18.11,23.11,24.55
Banker,Education,Decreasing,High,58378.76,Associate Degree,15,1381,5952,89.09,5.25,Brazil,44.57,1.33,2.47,4.78,5.58,0.5
Environmental health practitioner,Entertainment,Decreasing,Low,62576.44,Associate Degree,15,593,2062,31.82,45.44,UK,70.46,44.49,47.35,44.07,46.76,48.4
"Surveyor, insurance",Healthcare,Increasing,High,64475.37,Master’s Degree,11,1126,9006,75.76,58.7,China,60.79,55.52,58.24,56.4,56.97,55.76
Product manager,IT,Increasing,Moderate,127437.62,Associate Degree,10,2155,8854,42.27,35.52,China,46.01,28.46,34.36,28.7,34.1,34.84
Land/geomatics surveyor,Retail,Increasing,Moderate,145119.37,Bachelor’s Degree,13,5138,3690,25.41,29.89,Germany,60,28.92,30.28,24.97,26.71,27.74
Clinical research associate,Finance,Increasing,High,73964.57,Master’s Degree,4,4375,6723,40.64,37.68,China,42.07,28.61,30.39,33.91,32.32,34.25
Immigration officer,Entertainment,Increasing,Low,31078.92,Master’s Degree,11,9570,1100,93.69,79.43,Australia,76.15,72.86,78.54,77.08,77.09,75.46
Data processing manager,Healthcare,Decreasing,High,36325.61,Master’s Degree,19,5575,6231,92.71,54.86,UK,37.94,45.91,56.87,51.61,61.83,56.51
"Scientist, research (medical)",Entertainment,Decreasing,High,108668.19,PhD,4,9009,8855,16.7,2.7,Canada,25.3,0,0,0,0,0
Company secretary,IT,Decreasing,Moderate,32003.6,Bachelor’s Degree,20,6510,9801,29.48,58.49,Canada,53.79,54.63,53.35,56,58.14,58.15
"Programmer, applications",Finance,Decreasing,High,87097.41,PhD,1,3673,9967,30.91,5.97,USA,45.77,0,1.43,0.96,3,5.61
Furniture conservator/restorer,Retail,Increasing,Low,55041.47,PhD,10,5448,5785,48.51,17.58,India,31.78,14.31,11.37,17.8,18.86,13.24
Energy engineer,Manufacturing,Decreasing,Moderate,64828.72,PhD,9,3179,5528,62.78,54.43,UK,75.78,47.16,57.57,52.76,52.84,52.29
Radio broadcast assistant,Retail,Decreasing,High,105358.95,Bachelor’s Degree,1,4234,1749,7.97,14.84,Brazil,46.62,6.99,9.78,13.23,12.47,14.86
Estate agent,IT,Increasing,Low,109534.75,Bachelor’s Degree,0,8377,6713,54.63,35.01,Australia,69.59,34.26,29.33,32.63,35.47,31.58
Nutritional therapist,Entertainment,Increasing,Moderate,66128.43,Bachelor’s Degree,2,6403,618,46.34,72.11,Australia,34.25,67.76,74.97,67.86,74.02,70.59
"Merchandiser, retail",Finance,Decreasing,Moderate,96303.73,Master’s Degree,16,6043,9637,22.75,29.1,Australia,49.6,27.37,20.4,25.65,23.19,26.24
Copy,Finance,Increasing,Low,122102.36,Master’s Degree,10,4948,985,85.25,77.88,India,55.52,70.97,73.5,70.8,75.92,78.81
Stage manager,Manufacturing,Increasing,Moderate,80402.27,High School,20,9918,4264,47.52,39.17,Germany,53.45,31.07,34.27,43.57,38.45,33.51
Television floor manager,Entertainment,Increasing,Moderate,78551.67,Associate Degree,13,6612,7372,45.35,39.5,India,71.1,30.74,36.11,36.77,35.92,44.39
"Horticulturist, amenity",Entertainment,Decreasing,High,130650.5,Bachelor’s Degree,18,2410,3018,16.46,84.4,USA,77.03,88.46,78.13,84.02,85.52,87.36
Early years teacher,Finance,Increasing,Low,51258.01,Master’s Degree,15,9827,4743,57.14,23.99,Brazil,42.62,18.37,24.93,21.32,23.25,23.15
"Engineer, agricultural",Transportation,Increasing,Moderate,30064.48,Bachelor’s Degree,20,4158,4811,74.88,89.16,Canada,49.81,83.58,86.32,81.21,78.93,87.27
Pharmacologist,Finance,Increasing,High,139578.85,High School,12,7812,2792,40.46,71.46,China,33.28,60.45,67.21,68.36,68.39,75.3
Sports coach,IT,Decreasing,High,101012.09,High School,15,807,6154,0.78,7.22,India,66.1,0,0,0.99,5.33,2.04
Transport planner,Transportation,Decreasing,Moderate,105439.56,Master’s Degree,6,2845,506,0.26,57.44,China,33.71,52.14,55.29,62.99,59.33,56.87
Newspaper journalist,Manufacturing,Decreasing,Moderate,78479.44,Master’s Degree,12,7679,1203,31.57,48.15,USA,70.14,45.68,39.36,42.66,48.47,47.82
"Sales professional, IT",Retail,Decreasing,High,103580.72,Master’s Degree,4,4604,4361,42.51,53.3,UK,58.19,48.34,48.73,49.77,51.28,48.86
Fish farm manager,Healthcare,Decreasing,Moderate,48770.47,High School,1,4831,5232,63.03,14.95,Australia,72.21,11.5,10.13,11.94,16.08,14
Geochemist,Manufacturing,Decreasing,Low,64960.51,Master’s Degree,15,8719,8880,51.79,40.85,Brazil,64.15,39.67,38.92,38.12,36.98,39.2
Retail manager,Education,Decreasing,High,53287.77,High School,4,233,2764,99.71,37.02,USA,67.94,34.25,35.93,35.39,37.42,32.4
Risk manager,Retail,Increasing,High,97825.2,PhD,18,1859,9438,7.65,10.8,Canada,43.18,6.53,4.06,9.08,9.38,6.22
Physiotherapist,Healthcare,Decreasing,High,91820.93,Bachelor’s Degree,20,9757,4398,31.34,86.97,Germany,40.94,86.1,87.94,89.8,82.25,86.93
"Programmer, systems",Healthcare,Decreasing,High,134125,PhD,10,7422,2484,57.64,77.7,Canada,67.74,76.46,77.4,76.93,74.51,80.7
Tourism officer,Healthcare,Increasing,Moderate,37599.32,PhD,19,3793,4334,65.02,94.85,Brazil,47.32,96.17,91.78,89.65,90.49,100
Biomedical scientist,Manufacturing,Increasing,High,136027.22,High School,19,4720,5782,7.97,70.65,China,31.16,68.89,66.42,66.81,62.17,69.3
Trade union research officer,Manufacturing,Decreasing,Moderate,119934.74,Bachelor’s Degree,13,8553,450,6.18,68.58,Canada,61.16,60.34,65.95,70.4,63.49,68.63
Trade mark attorney,Education,Increasing,Moderate,117649.66,Master’s Degree,7,4045,4022,40.73,14.85,Australia,56.83,14.29,13.28,12.33,13.87,16.21
Technical author,Education,Increasing,High,79254.23,Bachelor’s Degree,2,9712,5091,23.23,82.4,Australia,73.23,80.19,79.79,85.04,83.15,76.97
Civil Service fast streamer,Entertainment,Decreasing,High,48509.16,High School,5,5260,1336,40.8,9.89,China,25.46,4.52,6.4,3.77,3.21,6.72
Chief Operating Officer,IT,Decreasing,Moderate,65663.04,Bachelor’s Degree,19,973,8079,76.98,90.78,Brazil,30.49,82.85,89.04,82.52,90.12,77.06
"Teacher, special educational needs",Education,Decreasing,Moderate,146266.35,Bachelor’s Degree,11,3867,5218,72.36,76.51,USA,77.25,74.69,72.97,82.97,68.33,75.95
"Engineer, civil (contracting)",Finance,Increasing,High,112219.17,Bachelor’s Degree,5,4521,2473,40.18,35.77,Canada,60.6,23.09,28.12,26.71,38.57,33.3
Civil Service administrator,Entertainment,Decreasing,Moderate,40292.73,High School,10,7777,9304,28.61,12.39,Canada,48.44,7,8.31,7.27,12.37,12.59
Arts development officer,Healthcare,Increasing,Moderate,142299.64,Bachelor’s Degree,3,9650,455,7.09,95.78,Australia,50.56,96.79,88.05,98.95,99.04,94.16
"Engineer, drilling",Finance,Decreasing,High,106740.63,Master’s Degree,11,228,4497,56.48,75.79,UK,49.78,71.37,70.58,65.09,71.98,72.41
"Civil engineer, contracting",Manufacturing,Decreasing,Low,76323.99,PhD,9,9887,8996,46.47,15.44,Brazil,30.2,12.81,15.2,10.54,13.45,13.27
Fashion designer,Entertainment,Increasing,High,38362.65,Associate Degree,9,4164,4762,90.04,22.8,Brazil,60.99,14.6,15.8,19.05,21.34,22.26
Chief Executive Officer,Finance,Decreasing,Low,76206.79,High School,1,663,5561,54.8,72.31,Canada,49.38,68.79,71.23,78.52,71.13,75.22
Clinical cytogeneticist,Finance,Increasing,High,82555.75,PhD,10,6647,6993,80.67,21.76,Germany,71.05,16.04,19.35,18.29,16.82,20.86
"Scientist, marine",IT,Increasing,Moderate,145085.37,Associate Degree,2,6414,512,99.82,16.31,Germany,63.72,9.31,11.93,10.07,15.83,14.82
Systems developer,Transportation,Increasing,Moderate,81615.67,High School,5,7717,1045,14.68,82.88,Brazil,48.04,81.23,80.11,80.37,81.81,84.56
Research scientist (life sciences),Entertainment,Decreasing,Low,72102.34,PhD,0,2378,234,36.49,99.14,Australia,63.39,100,87.31,99.46,97.94,97.65
